interno_ime,smucisce,drzava,nadmorska_visina,km_prog,karta,valuta
greising-deggendorf,Greising - Deggendorf,DE,800 - 870,0.5,n/a,n/a
snow-valley,Snow Valley - Peer,BE,60 - 102,0.5,n/a,n/a
mukinje-plitvice,Mukinje Plitvice,HR,640 - 690,1.5,n/a,n/a
engstingen,Engstingen,DE,700 - 780,1.6,"15,00",€
witow-ski,Witów Ski,PL,830 - 980,1.1,n/a,n/a
poseka,Poseka/Ravne,SI,423 - 587,0,n/a,n/a
skipark-vysne-ruzbachy,Skipark Vyšné Ružbachy,SK,650 - 790,3.1,n/a,n/a
willingen,Willingen,DE,560 - 840,17,"40,00",€
dlouhonovice,Dlouhoňovice,CZ,442 - 478,0.7,n/a,n/a
solan,Soláň,CZ,680 - 860,1.4,n/a,n/a
skilift-winterhalde,Winterhalde / Degenfeld,DE,540 - 600,1.5,"18,00",€
hempelsberg-geiersberg,Hempelsberg - Geiersberg / Oberwarmensteinach,DE,650 - 750,2,"25,00",€
ski-cierny-balog,Ski Čierny Balog,SK,559 - 809,5,n/a,n/a
tale,Tále,SK,650 - 870,2.6,n/a,n/a
grun,Grúň,CZ,750 - 930,4.3,n/a,n/a
skilift-haberinglift-poelstal,Haberinglift / Kinderschilift Pölstal,AT,933 - 970,3,"21,00",€
neukirchen-am-teisenberg,Skilift Neukirchen am Teisenberg / Berchtesgadener Land,DE,700 - 900,3,"18,00",€
hammerbodenlift-grossreifling,Hammerbodenlift Großreifling,AT,500 - 520,0.4,n/a,n/a
sebnitz-buchberg,Sebnitz am Buchberg,DE,374 - 489,1.8,"25,00",€
kreuth-kirchberg,Kreuth - Kirchberg,DE,800 - 850,1,n/a,n/a
polomka-bucnik,Polomka Bučník,SK,608 - 905,3.7,n/a,n/a
dobel-albtal,Dobel / Albtal,DE,670 - 720,0.5,n/a,n/a
racibor-oravsky-podzamok,Racibor - Oravský Podzámok,SK,506 - 743,8.4,n/a,n/a
holzelfingen,Wintersport Arena Holzelfingen,DE,720 - 801,3,"30,50",€
zlaim-grundlsee,Zlaim / Grundlsee,AT,760 - 900,1,"20,00",€
srodula-sport-sosnowiec,Środula Sport - Sosnowiec,PL,270 - 320,0.5,n/a,n/a
panorama-stedrakova-lhota,Panorama Štědrákova Lhota,CZ,500 - 750,2.3,"420,00",CZK
skipot,Skipot,CZ,713 - 813,1.2,"18,00",€
hartman,Hartman,CZ,610 - 710,2.1,n/a,n/a
hansberg,Hansberg,AT,752 - 850,1.2,"24,50",€
laworta,Laworta,PL,513 - 769,1.3,n/a,n/a
skicentrum-destne,Skicentrum Deštné,CZ,610 - 850,4.9,n/a,n/a
vurmovka,Vurmovka,CZ,750 - 850,1.8,n/a,n/a
nussbaumerlifte-hof,Nussbaumer Lifte / Hof bei Salzburg,AT,760 - 900,1,n/a,n/a
eschen-betzweiler,Eschen / Betzweiler,DE,594 - 638,0.3,n/a,n/a
filipovice,Filipovice,CZ,670 - 860,3.1,n/a,n/a
machuzky,Machůzky,CZ,535 - 735,1.4,n/a,n/a
trojak,Troják,CZ,500 - 585,1.4,n/a,n/a
zacler,Žacléř,CZ,570 - 830,5,n/a,n/a
huzele,Huzele / Lesko,PL,320 - 400,1.8,n/a,n/a
luka-nad-jihlavou,Luka nad Jihlavou,CZ,465 - 555,1.2,n/a,n/a
kozinec,Kozinec,CZ,439 - 524,0.5,n/a,n/a
loeffingen-dittishausen,Löffingen / Dittishausen,DE,800 - 850,0,n/a,n/a
lauscha-ernstthal,Lauscha - Ernstthal,DE,740 - 835,2.1,"24,00",€
weiler-simmerberg,Oberberglifte Simmerberg,DE,750 - 900,1,"16,50",€
rieder-weiher-dollnstein,Rieder Weiher - Dollnstein,DE,439 - 505,0.3,n/a,n/a
eichfeldlift,Eichfeldlift / Turnau,AT,784 - 850,1,"25,00",€
ricky-v-orlickych-horach,Říčky v Orlických horách,CZ,752 - 992,4,n/a,n/a
kozakov,Kozákov,CZ,630 - 725,0,n/a,n/a
zadzial,Zadział,PL,640 - 720,0,n/a,n/a
osvetimany,Osvětimany,CZ,290 - 380,0,n/a,n/a
karolinka,Karolinka,CZ,500 - 700,2.8,n/a,n/a
meissner-eschwege,Meißner / Eschwege,DE,620 - 750,1.4,n/a,n/a
family-ski-park-bret-zacler,Family Ski Park Bret Žacléř,CZ,526 - 600,1,n/a,n/a
stgeorgen,Schorschilift / St. Georgen am Walde,AT,750 - 787,1,"22,00",€
klingenthal,Skilifte Klingenthal,DE,570 - 936,0.7,n/a,n/a
kazimierz,Kazimierz,PL,140 - 186,1.4,n/a,n/a
allerheiligen-im-muehlkreis,Allerheiligen im Mühlkreis,AT,510 - 570,0,n/a,n/a
grafenau,Grafenau,DE,450 - 710,0,n/a,n/a
grapa-litwinka,Grapa Litwinka,PL,740 - 891,1.8,n/a,n/a
goldlauter-heidersbach-suhl,Goldlauter - Heidersbach / Suhl,DE,630 - 835,1.1,n/a,n/a
eibenstock,Eibenstock,DE,650 - 780,1,n/a,n/a
kolmberg,Kolmberg - Neuhof an der Zenn,DE,330 - 405,0.5,n/a,n/a
snowworld-amneville,Snowworld Amnéville,FR,200 - 280,0.7,"49,95",€
skiareal-kamenec,Kamenec / Jablonec nad Jizerou,CZ,450 - 672,3.2,n/a,n/a
tumlin,Tumlin,PL,306 - 380,0,n/a,n/a
snow-sun-vadicov,SNOW SUN VADIČOV,SK,540 - 633,0.8,n/a,n/a
hradek,Hrádek,CZ,500 - 578,1.2,n/a,n/a
skilift-breitenfurt-brenneralm,Breitenfurt,AT,385 - 475,0.8,n/a,n/a
ski-vitanova-vrchdolinky,SKI VITANOVÁ Vrchdolinky,SK,725 - 968,7.4,n/a,n/a
masserberg,Masserberg - Am Ersteberg,DE,730 - 830,0.6,n/a,n/a
radvanice,Radvanice,CZ,550 - 650,1.3,n/a,n/a
wyciag-dabrowka,Wyciąg Dąbrówka,PL,150 - 170,0,n/a,n/a
karlikow,Karlików,PL,500 - 650,1.2,n/a,n/a
schiessberg-crottendorf,Schießberg / Crottendorf,DE,669 - 764,1,n/a,n/a
orawka,Orawka,PL,682 - 734,0,n/a,n/a
horni-vltavice,Horní Vltavice,CZ,810 - 900,0.7,"465,00",CZK
zwiesel-glasberg,Zwiesel / Glasberg,DE,550 - 600,1,"16,00",€
skilift-bonka,Bonka,AT,384 - 410,1,"6,50",€
sv-fischbach,SV Fischbach,DE,555 - 620,1.1,n/a,n/a
wehrsdorf,Wehrsdorf,DE,350 - 390,0,n/a,n/a
ski-centrum-kalnica,Ski centrum Kálnica,SK,245 - 396,1.3,n/a,n/a
modra-hvezda,Modrá Hvězda / Rokytnice nad Jizerou,CZ,610 - 736,1.1,n/a,n/a
monte-sperlasso,Monte Sperlasso / Velburg,DE,520 - 550,0.3,"7,00",€
skilifte-waltersdorf,Skilifte Waltersdorf,DE,510 - 624,1.2,n/a,n/a
senozeta,Senožeta,SI,590 - 720,2,n/a,n/a
winterberg-oberkirnach-sankt-georgen,St. Georgen / Winterberg Oberkirnach,DE,850 - 902,0.5,"19,00",€
hohewandwiese,Hohe Wand Wiese / Dryslope,AT,258 - 370,0.1,n/a,n/a
inzell-kessel-lifte,Inzell Kessel-Lifte,DE,700 - 750,2.2,"19,00",€
schoeneck,Schöneck - Hohe Reuth,DE,620 - 750,2,"25,00",€
stribrnice-navrsi,Stříbrnice-Návrší,CZ,650 - 870,0,n/a,n/a
stokinger-freudenstadt,Wintersport Stokinger Freudenstadt,DE,620 - 800,1.3,n/a,n/a
elza-ski,Elza-Ski,CZ,860 - 938,0,n/a,n/a
knezicky-vrch,Vrchlabí - Kněžický vrch,CZ,550 - 710,8.2,n/a,n/a
laubenthal,Laubenthal,DE,480 - 525,0.3,n/a,n/a
bialy-jar,Winterpol Karpacz - Biały Jar,PL,715 - 790,2.1,n/a,n/a
hart-nusplingen,Hart / Nusplingen,DE,870 - 920,0.6,n/a,n/a
samoty,Samoty,CZ,785 - 896,2.6,n/a,n/a
art-ski,Art-Ski,PL,712 - 805,0,n/a,n/a
vranca,Vranča,CZ,470 - 625,5.9,n/a,n/a
au-bad-feilnbach,Au / Bad Feilnbach,DE,510 - 560,0.3,n/a,n/a
certov-javorniky,Čertov Javorníky,SK,580 - 870,5.3,n/a,n/a
ski-alpinum-schulenberg,Ski-Alpinum Schulenberg,DE,500 - 660,2.6,n/a,n/a
tettau,Tettau / Wildberg,DE,635 - 750,3.5,n/a,n/a
waldskilift-schnittlingen,Schnittlingen,DE,653 - 707,1,n/a,n/a
mosbach-nuestenbach,Mosbach - Nüstenbach,DE,220 - 270,0.2,n/a,n/a
sonnenbuehl-genkingen,Sonnenbühl - Genkingen,DE,745 - 835,1.3,"19,00",€
kares,Kareš,CZ,556 - 648,0,n/a,n/a
sinswang-allgaeu,Sinswang,DE,800 - 870,1,n/a,n/a
alpincenter-hamburg-wittenburg,Alpincenter Hamburg-Wittenburg,DE,40 - 96,0,n/a,n/a
kralicak,Kraličák,CZ,628 - 870,7.9,n/a,n/a
eberschwang,Eberschwang,AT,615 - 740,1.5,n/a,n/a
skiarena-tannenberg,Skiarena Tannenberg / Waldkirch,CH,750 - 820,0.3,"15,00",CHF
prelac,Přelač,CZ,700 - 850,2.5,n/a,n/a
sauerberg-frammersbach,Sauerberg / Frammersbach,DE,279 - 379,2.1,"15,00",€
hesselberg,Hesselberg,DE,560 - 610,0.4,n/a,n/a
ski-lubomierz,Ski Lubomierz,PL,740 - 920,2.5,n/a,n/a
podstolice,Podstolice,PL,296 - 340,1.2,n/a,n/a
oberwangen,Oberwangen,CH,627 - 765,0.8,n/a,n/a
bleaml-alm-neubau,Bleaml Alm - Neubau / Fichtelberg,DE,780 - 850,0.4,n/a,n/a
maciejowa-ski,Maciejowa Ski / Rabka,PL,617 - 800,0,n/a,n/a
hirschberg-bizau,Hirschberg Bizau,AT,796 - 821,1,n/a,n/a
fahrendorf-velden,Skilift Fahrendorf,AT,450 - 530,0.4,n/a,n/a
sternenberg,Sternenberg,CH,838 - 884,0.3,n/a,n/a
wurmbergseilbahn-braunlage,Wurmbergseilbahn - Braunlage,DE,570 - 971,11.8,"42,00",€
lubawka,Lubawka,PL,540 - 695,3,n/a,n/a
sami-swoi,Sami Swoi,PL,790 - 912,0,n/a,n/a
blansko-horice,Blansko - Hořice,CZ,485 - 550,0,n/a,n/a
argental-weitnau-allgaeu,Argental / Weitnau,DE,846 - 970,0.5,n/a,n/a
narty-rzeczka,Narty Rzeczka,PL,756 - 840,0,n/a,n/a
kozi-plan,Kozí Pláň,CZ,680 - 730,1,n/a,n/a
freyung-geyersberg,Freyung - Geyersberg,DE,654 - 860,1,n/a,n/a
ski-blanc-ostry-grun-kollarova,Ski-Blanc Ostrý Grúň Kollárová,SK,450 - 580,1.8,n/a,n/a
bildhaus-ricken,Bildhaus am Ricken,CH,800 - 860,0.6,"25,00",CHF
zloty-stok,Złoty Stok,PL,160 - 215,0,n/a,n/a
wagnershalde-messstetten,Wagnershalde / Meßstetten,DE,920 - 950,0.2,n/a,n/a
myto-pod-dumbierom,Mýto pod Ďumbierom,SK,598 - 898,4.7,"33,00",€
hasslach,Haßlach,DE,620 - 650,0,n/a,n/a
dolomity-ski-dolina,Dolomity Ski Dolina,PL,315 - 340,0.7,n/a,n/a
ski-land-stara-myjava,Ski Land Stará Myjava,SK,460 - 550,1.1,n/a,n/a
olesnice,Olešnice,CZ,560 - 660,1.1,n/a,n/a
widelki,Widełki,PL,305 - 410,0,n/a,n/a
jurasowka,Jurasówka,PL,400 - 450,0,n/a,n/a
schlossberg-osternohe,Schlossberg - Osternohe,DE,410 - 550,1,n/a,n/a
hohes-gras-kassel,Hohes Gras / Kassel,DE,525 - 605,0.5,n/a,n/a
filipov,Filipov,CZ,275 - 450,0.6,n/a,n/a
am-ried-farchant,Am Ried / Farchant,DE,670 - 772,0.6,"17,00",€
kraliky,Králiky,SK,805 - 929,2.4,n/a,n/a
koprivna,Kopřivná,CZ,680 - 860,1.4,n/a,n/a
nezdice,Nezdice,CZ,608 - 726,1.5,n/a,n/a
schilift-hotz,Hotz - Oberweng / Spital am Pyhrn,AT,843 - 906,1.2,"17,00",€
szwajcaria-baltowska,Szwajcaria Bałtowska,PL,150 - 200,1.8,n/a,n/a
hohe-bracht-lennestadt,Hohe Bracht / Lennestadt,DE,490 - 580,0.5,"15,00",€
kalte-kuchl,Kalte Kuchl / Rohr im Gebirge,AT,720 - 788,1.1,"15,00",€
ceske-petrovice,České Petrovice,CZ,650 - 740,2.7,"490,00",CZK
straza-bled,Straža Bled,SI,503 - 634,1.4,n/a,n/a
podkonice-plese,Podkonice - Pleše,SK,800 - 987,4.8,n/a,n/a
madrid-snowzone,Madrid SnowZone,ES,620 - 660,0.4,n/a,n/a
polanki,Polanki / Szczawa,PL,540 - 675,3,n/a,n/a
rusava,Rusava,CZ,386 - 456,0,n/a,n/a
hapfere-plaffeien,Hapfere / Plaffeien,CH,850 - 935,2,"22,00",CHF
crna,Črna na Koroškem,SI,575 - 789,3,n/a,n/a
skolnity,Skolnity Ski&amp;Bike Park,PL,762 - 770,2.2,n/a,n/a
skilift-am-kuelliggut,Skilift am Külliggut / Johanngeorgenstadt,DE,770 - 880,2,n/a,n/a
ruhestein,Ruhestein,DE,900 - 980,1,"27,00",€
szelment,Szelment,PL,52 - 256,1.9,n/a,n/a
nova-lhota,Nová Lhota,CZ,600 - 700,0.6,n/a,n/a
morsko,Morsko,PL,310 - 380,0,n/a,n/a
glasenberg,Glasenberg / Maria Neustift,AT,780 - 971,3,"18,00",€
kadlecak,Kadlečák,CZ,460 - 527,0.4,n/a,n/a
rucphen,SnowWorld Rucphen,NL,30 - 55,0.5,"52,50",€
jasenska-dolina,Jasenská dolina,SK,540 - 770,5.3,n/a,n/a
reka,Řeka,CZ,540 - 930,1.7,n/a,n/a
pasieki,Pasieki,PL,510 - 600,0,n/a,n/a
opalisko-zavazna-poruba,Opalisko Závažná Poruba,SK,710 - 950,3.2,n/a,n/a
schoenheide-stuetzengruen,Schönheide / Stützengrün,DE,585 - 638,0.8,n/a,n/a
ski-park-chlmec,Ski Park Chlmec,SK,302 - 495,1.6,n/a,n/a
wirtsberg-bartholomae,Wirtsberg / Bartholomä,DE,650 - 700,0.2,n/a,n/a
truches,Les Truches,FR,580 - 625,0.2,n/a,n/a
gehrenlift-bischofsgruen,Gehrenlift - Bischofsgrün,DE,680 - 755,0.6,n/a,n/a
unterwoessen-balsberg,Unterwössen - Balsberg,DE,560 - 615,0.4,"7,00",€
heumoederntal-treuchtlingen,Heumöderntal - Treuchtlingen,DE,448 - 525,0.6,"24,00",€
snowland-valcianska-dolina,SNOWLAND – Valčianska dolina,SK,510 - 830,4.7,n/a,n/a
entenberg-leinburg,Entenberg - Leinburg,DE,440 - 540,0.5,n/a,n/a
svata-anna,Svatá Anna,CZ,450 - 600,0.8,n/a,n/a
skilift-beiningen,Beiningen / Blaubeuren,DE,655 - 695,0,"17,00",€
velke-ostre,Veľké Ostré,SK,560 - 660,0.7,n/a,n/a
waldzell,Waldzell,AT,650 - 750,1.5,"18,00",€
biocel-zlatnik,Biocel Zlatník,CZ,640 - 724,1.3,n/a,n/a
riedlberg,Riedlberg,DE,715 - 850,1.3,n/a,n/a
oberstocken-tieringen-messstetten,Oberstocken Tieringen / Meßstetten,DE,820 - 880,0.4,n/a,n/a
skilift-treisberg-pferdskopf,Skilift Treisberg / Pferdskopf,DE,700 - 770,1.1,n/a,n/a
jaworki-homole,Arena Narciarska Jaworki Homole,PL,590 - 705,4,n/a,n/a
beerfelden,Beerfelden,DE,440 - 525,0.5,n/a,n/a
celjska-koca,Celjska koča,SI,650 - 834,1,n/a,n/a
polana-sosny,Polana Sosny,PL,496 - 582,0,n/a,n/a
buchsteinlift,Buchsteinlift / St. Gallen,AT,580 - 720,1,n/a,n/a
czarny-gron,Czarny Groń,PL,595 - 810,1.7,n/a,n/a
wiesensteig-blaesiberg,Wiesensteig - Bläsiberg,DE,605 - 761,5,"23,00",€
sabat-krajno,Sabat Krajno,PL,425 - 330,0,n/a,n/a
ski-karlov,SKI ARENA KARLOV,CZ,650 - 940,12.3,n/a,n/a
grand-valtin,Grand Valtin / Ban-sur-Meurthe-Clefcy,FR,850 - 930,0.5,n/a,n/a
ruhrquelle,Rodelparadies Ruhrquellenhütte,DE,640 - 675,0.6,"32,00",€
burov,Búřov,CZ,500 - 620,1.1,n/a,n/a
bedrichov,Bedřichov / Jizerky,CZ,710 - 802,4.5,"580,00",CZK
pod-solanem,Pod Soláněm,CZ,676 - 714,1,n/a,n/a
skilift-freistadt,Freistadt,AT,590 - 690,1,"25,00",€
oberzent-schoellenbach,Oberzent - Schöllenbach,DE,314 - 352,0.2,n/a,n/a
sportcentrum-oscadnica,Športcentrum Oščadnica,SK,470 - 570,0.6,n/a,n/a
luisino-udoli,Luisino údolí,CZ,750 - 860,0.9,"490,00",CZK
czorsztyn-ski,CZORSZTYN-SKI,PL,611 - 758,4.4,n/a,n/a
skigebiet-schneiderkopf-buch,Schneiderkopf Buch,AT,700 - 880,0,n/a,n/a
bad-laasphe-hesselbach,Bad Laasphe - Hesselbach,DE,450 - 624,0.9,"15,00",€
koziniec-ski,Koziniec ski,PL,760 - 890,2.2,n/a,n/a
kaiserlindenlift-gams,Kaiserlindenlift Gams,AT,530 - 650,0.8,n/a,n/a
laskowa-kamionna,Laskowa Kamionna,PL,496 - 801,4.8,n/a,n/a
wojtek,Wojtek - Zawoja,PL,650 - 714,2.1,n/a,n/a
ski-park-rajecka-lesna,Ski Park Rajecká Lesná,SK,595 - 875,3.3,n/a,n/a
czarnorzeki,Czarnorzeki,PL,440 - 508,0,n/a,n/a
gehlberg,Gehlberg,DE,670 - 915,0,n/a,n/a
skipark-eland,Skipark Eland,SK,480 - 600,2,n/a,n/a
szus,Szus Koniaków,PL,684 - 868,0.2,n/a,n/a
hochplett-oberaschau,Hochplett / Oberaschau,AT,650 - 750,4,"18,00",€
heubach,Heubach,DE,678 - 768,2.3,"26,00",€
obidowa,Obidowa,PL,830 - 925,0,n/a,n/a
skilift-koenigsbronn,Königsbronn,DE,535 - 600,0.5,n/a,n/a
branna,Branná,CZ,630 - 750,2.2,n/a,n/a
truchtelfingen,Albstadt / Truchtelfingen,DE,755 - 775,0.3,n/a,n/a
komari-vizka,Komáří Vížka,CZ,640 - 770,2,n/a,n/a
mlynky-dedinky-snow-fun-sun,Mlynky - Dedinky - Gugel / Biele Vody,SK,730 - 996,5.4,n/a,n/a
bregtallift-furtwangen,Bregtallift / Furtwangen,DE,900 - 990,1,n/a,n/a
mackenheim-abtsteinach,Mackenheim - Abtsteinach,DE,420 - 465,0.3,n/a,n/a
olczan-ski,Olczań ski,PL,880 - 950,0,n/a,n/a
wasserkuppe,Wasserkuppe,DE,500 - 950,2.5,"23,00",€
ribnisko-pohorje,Ribniško Pohorje,SI,725 - 921,2.2,"25,00",€
albstadt-tailfingen,Albstadt / Tailfingen,DE,810 - 935,1.5,"15,00",€
svinec,Svinec,CZ,390 - 510,0,n/a,n/a
ski-centre-levoca,Ski Centre Levoča,SK,634 - 876,3.3,n/a,n/a
rothenberg-schnaittach,Rothenberg - Schnaittach,DE,395 - 490,0.7,n/a,n/a
porac-brodok,Brodok - Poráč,SK,674 - 810,1.2,n/a,n/a
czantoria,Czantoria,PL,389 - 851,4.5,n/a,n/a
orava-snow-oravska-lesna,Orava Snow - Oravská Lesná,SK,760 - 963,9.6,n/a,n/a
moenchswald-mitteleschenbach,Mönchswald - Mitteleschenbach,DE,410 - 460,0.6,n/a,n/a
sahnehang,Familienskigebiet Sahnehang,DE,780 - 836,0.7,"24,00",€
paseky-nad-jizerou,Paseky nad Jizerou / Rokytnice nad Jizerou,CZ,620 - 860,9,n/a,n/a
skilift-rettenegg,Rettenegg,AT,870 - 900,0.2,n/a,n/a
mezihori,Mezihoří,CZ,660 - 745,0.7,n/a,n/a
wujskie,Wujskie,PL,425 - 500,0,n/a,n/a
kotelnica-bialczanska,Kotelnica Białczańska,PL,700 - 934,19.2,n/a,n/a
bile-karpaty-mikulcin,Bílé Karpaty - Mikulčin,CZ,610 - 740,2,n/a,n/a
przemysl,Przemyśl,PL,235 - 345,2.9,n/a,n/a
arnsberglifte,Arnsberglifte,DE,595 - 843,9.7,n/a,n/a
soszow,Soszów,PL,610 - 886,5.6,n/a,n/a
frankenlift-wurzbach,Frankenlift Wurzbach,DE,540 - 695,0,n/a,n/a
schleissberg-ohorn,Schleißberg / Ohorn,DE,370 - 410,0.2,n/a,n/a
malta-ski,Malta Ski,PL,60 - 80,0.2,n/a,n/a
skianlage-schloppach,Skianlage Schloppach / Waldsassen,DE,450 - 510,0.2,n/a,n/a
lisak-stribrna,Lišák Stříbrná,CZ,620 - 800,3.1,"250,00",CZK
benzeck-reit-im-winkl,Benzeck / Reit im Winkl,DE,700 - 750,0,n/a,n/a
ski-centrum-brezovica-casa-mia,SKI centrum Brezovica Casa Mia,SK,750 - 900,2.9,n/a,n/a
gromadzyn,Gromadzyń,PL,505 - 650,0,n/a,n/a
carlsfeld,Carlsfeld,DE,865 - 945,0,n/a,n/a
hanslmuehle,Hanslmühle / Mauern,DE,420 - 460,1,n/a,n/a
schmiedefeld-am-rennsteig,Winterwelt Schmiedefeld,DE,740 - 890,2.5,"24,00",€
skilifte-braunlage,Ski- &amp; Rodelcentrum Hohegeiß / Braunlage,DE,520 - 645,1,n/a,n/a
mendl-ski-brestek,Mendl ski Břestek,CZ,270 - 340,0.5,n/a,n/a
stich-opfertshofen,Skilift Stich / Opfertshofen,CH,600 - 665,0.4,n/a,n/a
oberneukirchen,Oberneukirchen,AT,696 - 753,0.4,n/a,n/a
stoaninger-alm,Stoaninger Alm,AT,710 - 805,1.2,"16,00",€
jachenau-muehle,Jachenau / Mühle,DE,775 - 870,1,n/a,n/a
ludwigsstadt,Skizentrum Ludwigsstadt / Wetzel,DE,470 - 700,0,n/a,n/a
oedberglifte,Oedberglifte - Gmund am Tegernsee,DE,800 - 970,2,n/a,n/a
gora-chrobrego,Góra Chrobrego,PL,35 - 85,0,n/a,n/a
hochberg-heidenheim,Hochberg in Heidenheim,DE,510 - 630,1,n/a,n/a
bystre-hamry,Bystré Hamry,CZ,525 - 605,0.5,n/a,n/a
kirchberglift-oberweissbach,Kirchberglift / Oberweißbach,DE,739 - 785,0.9,"15,00",€
horni-udoli,Horní Údolí,CZ,625 - 770,1.5,"390,00",CZK
altenberg-geising,Altenberg,DE,740 - 830,0,"23,00",€
rettenbach,Rettenbach,AT,452 - 568,0,n/a,n/a
okocim-ski,Okocim Ski,PL,220 - 255,0,n/a,n/a
zagron,Zagroń,PL,552 - 684,3.7,n/a,n/a
larcenaire-bussang,Larcenaire - Bussang,FR,825 - 960,5,"20,30",€
jonas-park-ostruzna,Jonas Park Ostružná,CZ,700 - 835,2.1,n/a,n/a
bruchhausen-steinen-sternrodt,Skisportzentrum Sternrodt Bruchhausen a. d. Steinen / Olsberg,DE,600 - 800,1.9,"25,00",€
muensingen-dottingen,Münsingen / Dottingen,DE,750 - 850,2,n/a,n/a
erbeskopf-thalfang,Erbeskopf - Thalfang,DE,675 - 815,2,"17,00",€
hlinsko,Hlinsko,CZ,555 - 645,1.1,n/a,n/a
sodrazica,Izver - Sodražica,SI,535 - 622,0.8,n/a,n/a
enzkloesterle,Hirschkopflifte / Enzklösterle,DE,650 - 850,1.6,n/a,n/a
makovica-nizna-polianka,Nižná Polianka / Makovica,SK,458 - 648,1,"21,00",€
bad-sachsa-ravensberg,Bad Sachsa - Ravensberg,DE,600 - 660,4.4,n/a,n/a
landgraaf,SnowWorld Landgraaf,NL,150 - 220,1.6,"53,50",€
kolsassberg,Kleinskigebiet Kolsassberg,AT,750 - 800,0.6,"24,00",€
beuerberg,Beuerberg,DE,600 - 630,1,n/a,n/a
schafbuel-wildberg,Schafbüel - Wildberg,CH,685 - 710,0.2,n/a,n/a
iberg-allgaeu,Iberg,DE,740 - 960,2.5,"24,00",€
horni-podluzi,Horní Podluží,CZ,450 - 560,0,n/a,n/a
snowworld-amsterdam,SnowWorld Amsterdam,NL,10 - 30,0.4,"53,50",€
velka-javorina,Veľká Javorina,SK,820 - 940,1.5,n/a,n/a
oaza-loucna-nad-desnou,Oaza - Loučná nad Desnou,CZ,400 - 605,0,n/a,n/a
frauenau,Frauenau,DE,635 - 712,0.5,n/a,n/a
st-andreasberg-sonnenberg,St. Andreasberg - Sonnenberg,DE,720 - 853,3.6,"27,00",€
cervena-voda,Červená Voda,CZ,600 - 985,4.6,n/a,n/a
sedlonov,Sedloňov,CZ,645 - 700,0.9,n/a,n/a
suche,Suche,PL,795 - 915,2,n/a,n/a
oberfrauenwald,Oberfrauenwald / Waldkirchen,DE,650 - 948,1.4,"19,00",€
regetovka,Regetovka,SK,520 - 760,3,n/a,n/a
budzowy-wierch,Budzowy Wierch,PL,840 - 900,0,n/a,n/a
hirschbergarena-wickenrode-helsa,Hirschbergarena - Wickenrode / Helsa,DE,390 - 430,0.2,n/a,n/a
sundern-wildewiese,Sundern - Wildewiese,DE,540 - 645,7.5,"25,00",€
moninec,Monínec,CZ,480 - 700,2,n/a,n/a
piast,Jastrzębica – Przyłęków,PL,554 - 736,3.9,n/a,n/a
furtnerlifte,Furtnerlifte / Rohr im Gebirge,AT,800 - 927,0,"24,00",€
kalnica,Kalnica,PL,600 - 700,2.3,n/a,n/a
reiserhang,Reiserhang,DE,735 - 835,1.1,"22,00",€
ice-mountain-adventure-park-komen,Ice Mountain Adventure Park Komen,BE,50 - 90,0.3,n/a,n/a
slawicki-raj,Sławicki Raj,PL,275 - 335,1.1,n/a,n/a
am-hainberg-olbernhau,Am Hainberg / Olbernhau,DE,506 - 602,0.5,n/a,n/a
usseln,Usseln,DE,640 - 730,1,n/a,n/a
schoemberg-eulenloch,Schömberg / Eulenloch,DE,620 - 540,1.6,"15,00",€
hoellkreuz-hoellhoehe,Höllkreuz - Höllhöhe / Neukirchen b. Hl. Blut,DE,612 - 750,0.7,n/a,n/a
zdobnice,Zdobnice,CZ,605 - 730,2.1,n/a,n/a
heiden-bischofsberg,Heiden / Bischofsberg,CH,810 - 940,5,n/a,n/a
klema,Klema,CZ,845 - 900,0,n/a,n/a
la-baitina-druogno,La Baitina / Druogno,IT,830 - 930,1.3,n/a,n/a
awengen-eberhardzell,Awengen / Eberhardzell,DE,597 - 648,0.3,n/a,n/a
milda-loessnitz,Milda am Hirnschädel / Lößnitz,DE,430 - 550,2,"20,00",€
velke-mezirici-fajtuv-kopec,Velké Meziříčí - Fajtův kopec,CZ,490 - 555,0,n/a,n/a
u-capa,U Čápa,CZ,680 - 790,3,n/a,n/a
salzwinkel,Salzwinkel / Zainingen,DE,780 - 840,1.2,n/a,n/a
strazny,Strážný,CZ,848 - 970,0,"450,00",CZK
szance,Szańce,PL,646 - 715,0,n/a,n/a
roethenhang-neuschleichach,Röthenhang - Neuschleichach,DE,390 - 465,0.5,n/a,n/a
pfeffingen,Albstadt / Pfeffingen,DE,750 - 810,0.4,"6,00",€
studenov,Studenov / Rokytnice nad Jizerou,CZ,620 - 933,3.6,n/a,n/a
smerekowiec,Smerekowiec,PL,460 - 524,0.8,n/a,n/a
hamberg-gaehwil,Hamberg - Gähwil,CH,760 - 905,0.8,n/a,n/a
egg-hallau,Egg / Hallau,CH,520 - 560,0.2,n/a,n/a
kniebis-freudenstadt,Kniebis Freudenstadt,DE,920 - 960,1.3,"20,00",€
frauenzell-brennberg,Frauenzell / Brennberg,DE,552 - 652,0.4,n/a,n/a
roemerstein-donnstetten,Donnstetten / Römerstein,DE,800 - 854,1,"25,00",€
greuth-gerstetten,Wintersportzentrum Greuth,DE,574 - 634,0.7,n/a,n/a
